Cycle,Training samples,sample,Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
small,100,137,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.25,0.0,0.0,1.0,0.0,0,0,0,0,573,15811,0.0,0.0,0.0,0.965026855468691,0.0
small,100,138,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,78,16306,0.0,0.0,0.0,0.9952392578124393,0.0
small,100,139,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,3,0,0,0,683,15701,0.0,0.0,0.0,0.9583129882811915,0.0
small,100,140,CNN-refined Hough vectors from distance-to-stroke,5,0,5,0.0,0.0,0.0,0.0,0.0,2,0,0,0,618,15766,0.0,0.0,0.0,0.9622802734374413,0.0
small,100,141,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,102,16282,0.0,0.0,0.0,0.9937744140624393,0.0
small,100,142,CNN-refined Hough vectors from distance-to-stroke,1,0,1,0.25,0.0,0.0,1.0,0.0,0,0,0,0,68,16316,0.0,0.0,0.0,0.9958496093749392,0.0
small,100,143,CNN-refined Hough vectors from distance-to-stroke,4,0,4,0.25,0.0,0.0,1.0,0.0,0,0,0,0,471,15913,0.0,0.0,0.0,0.9712524414061907,0.0
small,100,144,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,296,16088,0.0,0.0,0.0,0.98193359374994,0.0
small,100,145,CNN-refined Hough vectors from distance-to-stroke,2,0,2,0.25,0.0,0.0,1.0,0.0,0,0,0,0,231,16153,0.0,0.0,0.0,0.9859008789061898,0.0
small,100,146,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.25,0.0,0.0,1.0,0.0,0,0,0,0,408,15976,0.0,0.0,0.0,0.9750976562499405,0.0
small,100,147,CNN-refined Hough vectors from distance-to-stroke,3,0,3,0.0,0.0,0.0,0.0,0.0,1,0,0,0,344,16040,0.0,0.0,0.0,0.9790039062499403,0.0
