method,method_display,preprocess_method,preprocess_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,preprocess_kind,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,979,3,2,1,0.41763213981244673,0.015217391304347815,0.47058823529411764,1.0,0.6666666666666667,0,0,0.24999999999375003,0.02032520325199121,0.0375939848231952,0.019157088122568666,0.9687499999999408,10,30,482,15862,0.24999999999375003,0.02032520325199121,0.0375939848231952,0.9687499999999408,0.019157088122568666,binary,274,492,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,979,3,2,1,0.5049019607843137,0.0,0.9411764705882353,1.0,0.6666666666666667,0,0,0.10526315789335179,0.029197080291864245,0.04571428537404081,0.023391812865428678,0.9796142578124402,8,68,266,16042,0.10526315789335179,0.029197080291864245,0.04571428537404081,0.9796142578124402,0.023391812865428678,binary,274,274,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,979,3,3,0,0.6550201238390093,0.24906432748538013,0.9647058823529412,1.0,1.0,0,0,0.2976190476155045,0.05707762557064594,0.09578544034261094,0.05030181086508994,0.9711914062499407,25,59,413,15887,0.2976190476155045,0.05707762557064594,0.09578544034261094,0.9711914062499407,0.05030181086508994,local_density,274,438,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,979,3,2,1,0.42490196078431375,0.0,0.5411764705882354,1.0,0.6666666666666667,0,0,0.34883720929421314,0.03947368421042244,0.07092198563262524,0.036764705882262834,0.9760131835936904,15,28,365,15976,0.34883720929421314,0.03947368421042244,0.07092198563262524,0.9760131835936904,0.036764705882262834,sobel_edges,274,380,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,979,3,3,0,0.4394117647058824,0.0,0.44705882352941173,1.0,1.0,0,0,0.5833333333171297,0.02941176470584116,0.055999999908458664,0.0288065843621004,0.9567871093749416,21,15,693,15655,0.5833333333171297,0.02941176470584116,0.055999999908458664,0.9567871093749416,0.0288065843621004,distance_transform,274,714,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,979,3,3,0,0.5755179028132992,0.08285024154589372,0.9411764705882353,1.0,1.0,0,0,0.12987012986844323,0.03649635036483031,0.056980056637235085,0.02932551319639494,0.9797973632811902,10,67,264,16043,0.12987012986844323,0.03649635036483031,0.056980056637235085,0.9797973632811902,0.02932551319639494,neighbour_context,274,274,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,979,3,2,1,0.35901960784313725,0.0,0.21176470588235297,1.0,0.6666666666666667,0,0,0.21052631577839334,0.04819277108375671,0.07843137224432908,0.04081632653019575,0.9942626953124393,4,15,79,16286,0.21052631577839334,0.04819277108375671,0.07843137224432908,0.9942626953124393,0.04081632653019575,skeleton,274,83,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,980,1,2,1,0.47534246575342465,0.0,0.8767123287671232,1.0,0.5,0,0,0.13513513513330896,0.05263157894709142,0.07575757535353535,0.03937007874000248,0.9851074218749398,10,64,180,16130,0.13513513513330896,0.05263157894709142,0.07575757535353535,0.9851074218749398,0.03937007874000248,binary,190,190,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,980,1,2,1,0.7737500000000002,0.65,0.90625,1.0,0.5,0,0,0.14285714285459183,0.021052631578891968,0.0366972474823668,0.018691588785003058,0.9743652343749405,8,48,372,15956,0.14285714285459183,0.021052631578891968,0.0366972474823668,0.9743652343749405,0.018691588785003058,binary,190,380,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,980,1,1,0,0.421875,0.0,0.359375,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9873046874999397,0,18,190,16176,0.0,0.0,0.0,0.9873046874999397,0.0,binary,190,190,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,980,1,1,0,0.571,0.12999999999999998,0.8125,1.0,1.0,0,0,0.7727272727097108,0.12056737588609728,0.20858895682042985,0.1164383561639848,0.9842529296874399,34,10,248,16092,0.7727272727097108,0.12056737588609728,0.20858895682042985,0.9842529296874399,0.1164383561639848,local_density,190,282,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,980,1,1,0,0.50625,0.0,0.78125,1.0,1.0,0,0,0.2156862745055748,0.045833333333142365,0.07560137428084222,0.03928571428557398,0.9835815429686899,11,40,229,16104,0.2156862745055748,0.045833333333142365,0.07560137428084222,0.9835815429686899,0.03928571428557398,sobel_edges,190,240,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,980,1,1,0,0.5903125,0.13124999999999998,0.90625,1.0,1.0,0,0,0.8518518518360769,0.09019607843119569,0.16312056720215282,0.08880308880291737,0.9711914062499407,46,8,464,15866,0.8518518518360769,0.09019607843119569,0.16312056720215282,0.9711914062499407,0.08880308880291737,distance_transform,190,510,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
