method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,candidate_peak_count,component_count,candidate_local_segments,remaining_ransac_points,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,4,15,15,0,0.8850158518089751,0.8686626772225593,0.9705882352941176,0.8,1.0,5,4,0.956369982546324,0.9351535836161516,0.9456427950118047,0.8968903436973864,0.9961547851561892,548,25,38,15773,0.956369982546324,0.9351535836161516,0.9456427950118047,0.9961547851561892,0.8968903436973864,1620,586,39,32,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,4,15,14,1,0.641451204073896,0.6790401554305552,0.8127490039840637,0.32,0.9333333333333333,5,15,0.7620396600555779,0.9180887371997986,0.8328173369643244,0.7135278514579396,0.9868164062499397,538,168,48,15630,0.7620396600555779,0.9180887371997986,0.8328173369643244,0.9868164062499397,0.7135278514579396,1620,586,0,0,,,,0.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,4,15,17,2,0.4768295244213546,0.6034120150539904,0.4852941176470589,0.08,0.8823529411764706,5,3,0.9071428571396174,0.43344709897536954,0.5866050803924816,0.41503267973788394,0.9781494140624403,254,26,332,15772,0.9071428571396174,0.43344709897536954,0.5866050803924816,0.9781494140624403,0.41503267973788394,1620,586,0,0,,,34.0,,,,,,,False
baseline_on_shared_skeleton,Baseline,5,14,13,1,0.7055022552112179,0.6919450468538527,0.9349206349206349,0.45714285714285713,0.9285714285714286,7,6,0.8727598566292603,0.871198568871429,0.871978513374894,0.773015873014646,0.9912719726561895,487,71,72,15754,0.8727598566292603,0.871198568871429,0.871978513374894,0.9912719726561895,0.773015873014646,1143,559,27,23,,,,,,,,,,False
hough_transform_on_shared_skeleton,Hough Transform,5,14,12,2,0.6812609194013838,0.6739953414301258,0.9143686502177069,0.4375,0.8571428571428572,7,16,0.8289269051309037,0.9534883720913175,0.8868552407655254,0.7967115097148031,0.9916992187499395,533,110,26,15715,0.8289269051309037,0.9534883720913175,0.8868552407655254,0.9916992187499395,0.7967115097148031,1143,559,0,0,4967.0,,,,,,,,,False
contour_based_fitting_on_shared_skeleton,Contour-based fitting,5,14,16,2,0.4158560133924313,0.3691862026004645,0.8111111111111111,0.0,0.875,7,1,0.48717948717852627,0.44186046511548865,0.4634146336466618,0.30158730158693337,0.965087890624941,247,260,312,15565,0.48717948717852627,0.44186046511548865,0.4634146336466618,0.965087890624941,0.30158730158693337,1143,559,0,0,,4.0,,,,,,,,False
thinning_skeletonisation_graph_tracing_on_shared_skeleton,Thinning / skeletonisation,5,14,12,2,0.7695296609651862,0.7238225270125829,0.9333333333333333,0.6857142857142857,0.8571428571428572,7,5,0.8837209302309773,0.8837209302309773,0.8837209297309772,0.791666666665398,0.9920654296874394,494,65,65,15760,0.8837209302309773,0.8837209302309773,0.8837209297309772,0.9920654296874394,0.791666666665398,1143,559,28,24,,,,,501.0,20.0,1.0,12.0,25.0,False
run_graph_vectorisation_on_shared_skeleton,Run-graph vectorisation,5,14,12,2,0.7695296609651862,0.7238225270125829,0.9333333333333333,0.6857142857142857,0.8571428571428572,7,5,0.9302325581378708,0.9302325581378708,0.9302325576378707,0.8695652173898503,0.9952392578124393,520,39,39,15786,0.9302325581378708,0.9302325581378708,0.9302325576378707,0.9952392578124393,0.8695652173898503,1143,559,28,24,,,,,,,,,,False
sparse_pixel_ransac_vectorisation_on_shared_skeleton,Sparse-pixel RANSAC,5,14,12,2,0.6614739507749798,0.6679363136523481,0.8898305084745762,0.3888888888888889,0.8571428571428572,7,18,0.8199697428126779,0.9695885509821653,0.8885245896659729,0.799410029497346,0.9916992187499395,542,119,17,15706,0.8199697428126779,0.9695885509821653,0.8885245896659729,0.9916992187499395,0.799410029497346,1143,559,0,0,,,,0.0,,,,,,False
mesh_pattern_local_vectorisation_on_shared_skeleton,Mesh-pattern local,5,14,17,3,0.49748844147639676,0.7031229812661499,0.4936507936507937,0.0,0.8235294117647058,7,0,0.9999999999967427,0.5491949910544737,0.7090069279471675,0.5491949910544737,0.9846191406249398,307,0,252,15825,0.9999999999967427,0.5491949910544737,0.7090069279471675,0.9846191406249398,0.5491949910544737,1143,559,0,0,,,37.0,,,,,,,False
