method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,96,3,3,0,0.30983476132190946,0.19239766081871343,0.6162790697674418,0.0,1.0,1,1,0.088235294116782,0.051136363636073094,0.0647482009738109,0.033457249070507594,0.9841308593749399,9,93,167,16115,0.088235294116782,0.051136363636073094,0.0647482009738109,0.9841308593749399,0.033457249070507594,332,176,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,97,10,15,5,0.6505233516483516,0.7900518925518927,0.9333333333333333,0.16666666666666666,0.6666666666666667,5,6,0.809999999997975,0.7960687960668401,0.802973977193215,0.6708074534147602,0.9902954101561895,324,76,83,15901,0.809999999997975,0.7960687960668401,0.802973977193215,0.9902954101561895,0.6708074534147602,943,407,25,21,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,97,10,15,5,0.7310077526334858,0.8632310870947236,0.9419354838709677,0.35,0.6666666666666667,5,8,0.8421052631557843,0.8255528255507972,0.8337468977610077,0.7148936170197555,0.9918212890624394,336,63,71,15914,0.8421052631557843,0.8255528255507972,0.8337468977610077,0.9918212890624394,0.7148936170197555,943,407,25,21,353.0,16.0,4.0,24.0,10.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,97,10,12,2,0.4002623068345318,0.16904168543874426,0.8043010752688172,0.32,0.8333333333333334,5,4,0.05070422535196985,0.04422604422593556,0.04724409399039343,0.024193548387064258,0.9556884765624416,18,337,389,15640,0.05070422535196985,0.04422604422593556,0.04724409399039343,0.9556884765624416,0.024193548387064258,943,407,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,97,10,12,2,0.40196064286493605,0.1977858969280538,0.9397849462365592,0.16666666666666666,0.8333333333333334,5,12,0.07888040712448122,0.07616707616688903,0.07749999949995938,0.040312093628036005,0.9549560546874417,31,362,376,15615,0.07888040712448122,0.07616707616688903,0.07749999949995938,0.9549560546874417,0.040312093628036005,943,407,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,98,6,3,3,0.4677642232777677,0.45993525632041854,0.6789667896678967,0.3,0.5,2,1,0.5621621621591235,0.4814814814792524,0.518703241395663,0.3501683501671712,0.9882202148436896,104,81,112,16087,0.5621621621591235,0.4814814814792524,0.518703241395663,0.9882202148436896,0.3501683501671712,762,216,9,7,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,98,6,3,3,0.4677642232777677,0.45993525632041854,0.6789667896678967,0.3,0.5,2,1,0.5621621621591235,0.4814814814792524,0.518703241395663,0.3501683501671712,0.9882202148436896,104,81,112,16087,0.5621621621591235,0.4814814814792524,0.518703241395663,0.9882202148436896,0.3501683501671712,762,216,9,7,168.0,5.0,2.0,29.0,12.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,98,6,5,1,0.211989544895449,0.09074074074074075,0.4391143911439115,0.0,0.8333333333333334,2,1,0.02884615384587648,0.013888888888824589,0.018749999561132824,0.009463722397446486,0.9808349609374402,3,101,213,16067,0.02884615384587648,0.013888888888824589,0.018749999561132824,0.9808349609374402,0.009463722397446486,762,216,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,98,6,4,2,0.23508349337879345,0.17581763049599305,0.4464944649446494,0.0,0.6666666666666667,2,0,0.035087719297937824,0.018518518518432784,0.02424242379004592,0.01226993865026911,0.9803466796874402,4,110,212,16058,0.035087719297937824,0.018518518518432784,0.02424242379004592,0.9803466796874402,0.01226993865026911,762,216,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,99,9,8,1,0.5846510367823278,0.6308289241622574,0.8927789934354485,0.1333333333333333,0.8888888888888888,2,3,0.8789346246952084,0.8663484486852832,0.8725961533440822,0.7739872068213774,0.9935302734374394,363,50,56,15915,0.8789346246952084,0.8663484486852832,0.8725961533440822,0.9935302734374394,0.7739872068213774,996,419,18,13,,,,,,
