sample,candidate_peak_count,selected_peak_count,predicted_vectors
1030,675,5,2
1031,1474,6,5
1032,114,2,2
1033,1535,4,4
1034,516,1,1
1035,2818,2,2
1036,65,1,1
1037,113,1,1
1038,120,1,1
1039,579,1,1
1040,3055,6,6
1041,86,1,1
1042,998,4,2
1043,677,3,2
1044,66,1,1
1045,1963,7,6
1046,5852,12,8
1047,5046,5,5
1048,484,2,2
1049,2687,3,3
1050,663,1,1
1051,2164,8,5
1052,38,1,1
1053,3863,8,5
1054,4796,5,4
1055,2748,8,2
1056,446,2,2
1057,538,3,1
1058,5543,8,6
1059,4131,5,4
1060,4794,9,6
1061,602,2,2
1062,424,1,1
1063,197,2,2
1064,5863,8,6
1065,109,1,1
1066,2770,7,4
1067,660,5,4
1068,2672,5,5
1069,2970,3,3
1070,5813,6,4
1071,4760,8,6
1072,709,4,2
1073,4098,4,3
1074,6915,10,7
1075,4604,7,6
1076,1361,4,2
1077,710,1,1
1078,5095,10,5
1079,604,4,4
1080,1071,1,1
1081,611,4,2
1082,4732,11,7
1083,1626,5,3
1084,88,1,1
1085,1952,2,2
1086,690,1,1
1087,846,1,1
1088,3531,5,5
1089,3696,8,3
1090,637,5,4
1091,186,1,1
1092,5210,7,5
1093,628,3,2
1094,1286,5,5
1095,4375,9,7
1096,30,1,1
1097,668,2,1
1098,2672,6,5
1099,724,3,1
1100,3009,3,2
1101,1314,3,3
1102,2084,3,3
1103,1712,9,6
1104,4768,3,3
1105,650,4,4
1106,532,2,2
1107,4028,10,7
1108,3973,5,4
1109,2026,3,2
1110,7165,7,5
1111,2105,8,4
1112,1975,5,4
1113,941,5,4
1114,2856,5,5
1115,3682,6,4
1116,7906,13,7
1117,925,5,2
1118,900,1,1
1119,3676,7,6
1120,3357,8,5
1121,115,1,1
1122,2779,5,5
1123,36,1,1
1124,182,3,3
1125,5565,11,6
1126,1199,5,3
1127,2529,7,6
1128,4774,9,7
1129,2478,8,3
1130,2612,5,3
1131,5159,11,9
1132,5681,13,9
1133,7437,10,5
1134,151,2,2
1135,325,4,2
1136,1097,4,4
1137,5888,8,5
1138,2102,6,4
1139,384,1,1
1140,26,1,1
1141,5223,6,5
1142,273,1,1
1143,1206,2,2
1144,302,4,4
1145,655,3,1
1146,5982,8,6
1147,77,1,1
1148,4471,5,5
1149,3000,5,3
1150,1647,5,3
1151,2936,10,4
1152,4384,10,9
1153,45,1,1
1154,1161,4,4
1155,104,1,1
1156,335,2,2
1157,2748,4,4
1158,386,2,2
1159,1471,3,3
1160,27,1,1
1161,737,4,4
1162,386,2,1
1163,364,2,2
1164,9924,7,5
1165,692,2,2
1166,302,2,2
1167,5709,13,10
1168,859,4,2
1169,3169,6,6
1170,3197,7,4
1171,633,4,4
1172,2999,7,6
1173,2908,8,4
1174,5357,13,12
1175,2987,6,6
1176,1151,2,2
1177,1629,4,4
1178,3886,12,4
1179,68,1,1
1180,1130,5,4
1181,5261,6,4
1182,1182,5,3
1183,5000,4,4
