sample,method,ml_threshold,true_vectors,pred_segments,pred_polylines,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,time_ms
10,CNN junction cleanup 0.95,0.95,2,3,3,1,0.3404124293785311,0.42000000000000004,0.423728813559322,0.0,0.6666666666666667,1,0,0.4098360655670519,0.2293577981630334,0.29411764659522494,0.17241379310225924,0.9926757812499394,5.174200006877072
10,Hough Transform,,2,1,1,1,0.4910691003911343,0.7692307692307693,0.47457627118644063,0.0,0.5,1,0,0.9999999999824563,0.5229357798117161,0.6867469874925969,0.5229357798117161,0.9968261718749392,0.7442999922204763
10,Contour,,2,4,1,2,0.48664602346805735,0.5371794871794872,0.9745762711864406,0.0,0.5,1,4,0.2376237623738849,0.22018348623651207,0.2285714280699773,0.1290322580638224,0.9901123046874395,0.6088999944040552
10,Skeletonisation,,2,1,1,1,0.4910691003911343,0.7692307692307693,0.47457627118644063,0.0,0.5,1,0,0.9999999999824563,0.5229357798117161,0.6867469874925969,0.5229357798117161,0.9968261718749392,0.6062000029487535
10,Run-graph,,2,1,1,1,0.4910691003911343,0.7692307692307693,0.47457627118644063,0.0,0.5,1,0,0.9999999999824563,0.5229357798117161,0.6867469874925969,0.5229357798117161,0.9968261718749392,4.305299997213297
10,Sparse pixel,,2,1,1,1,0.4910691003911343,0.7692307692307693,0.47457627118644063,0.0,0.5,1,0,0.9999999999824563,0.5229357798117161,0.6867469874925969,0.5229357798117161,0.9968261718749392,0.6586999952560291
10,Mesh pattern,,2,4,4,2,0.36991525423728816,0.5,0.47457627118644063,0.0,0.5,1,0,0.9636363636188431,0.48623853210563084,0.6463414629609607,0.47747747747317587,0.9964599609374392,0.6283999973675236
11,Baseline junction graph,,12,12,12,0,0.9886846320346321,0.9832962962962963,0.9988636363636364,0.9857142857142858,1.0,14,14,0.7254901960776411,0.784452296818864,0.7538200334557665,0.6049046321520392,0.9734497070311906,11.111800005892292
11,MLP junction cleanup 0.95,0.95,12,17,17,5,0.7733728889737713,0.8535666666666667,0.9386363636363636,0.5238095238095238,0.7058823529411764,14,21,0.5927189988616692,0.6136631330970392,0.6030092587587119,0.4316487158240003,0.9581298828124415,13.142099996912293
11,CNN junction cleanup 0.95,0.95,12,18,18,6,0.7624339872408294,0.8054000000000001,0.9693181818181819,0.5578947368421052,0.6666666666666667,14,19,0.5916114790280446,0.6313309776199867,0.6108262103260421,0.4397046759635441,0.9583129882811915,25.064000001293607
11,Hough Transform,,12,14,14,2,0.726138961038961,0.8537575757575757,0.7454545454545455,0.42857142857142855,0.8571428571428572,14,6,0.9969879518057274,0.7797408716127447,0.8750826168229081,0.7779083431248204,0.9884643554686896,1.868899998953566
11,Contour,,12,60,2,48,0.5016429502876144,0.6936579887593388,0.6641509433962265,0.14666666666666664,0.19999999999999996,14,60,0.4192966636605777,0.547703180211369,0.4749744632468399,0.3114534494304679,0.9372558593749428,5.637299997033551
11,Skeletonisation,,12,104,104,92,0.4720307279984167,0.6432608780108781,0.8079545454545455,0.03773584905660377,0.11538461538461542,14,212,0.9999999999985185,0.7950530035326324,0.8858267711588985,0.7950530035326324,0.9893798828124396,5.457599996589124
11,Run-graph,,12,12,12,0,0.8002813852813854,0.8962962962962964,0.7704545454545455,0.5714285714285714,1.0,14,14,0.9999999999985185,0.7950530035326324,0.8858267711588985,0.7950530035326324,0.9893798828124396,8.324199996422976
11,Sparse pixel,,12,104,104,92,0.4720307279984167,0.6432608780108781,0.8079545454545455,0.03773584905660377,0.11538461538461542,14,212,0.9999999999985185,0.7950530035326324,0.8858267711588985,0.7950530035326324,0.9893798828124396,8.075000005192123
11,Mesh pattern,,12,34,34,22,0.40672593582887695,0.585,0.5409090909090909,0.0,0.3529411764705882,14,1,0.6092184368725266,0.3580683156650671,0.4510385752006942,0.2911877394633226,0.9548339843749417,1.5063000028021634
12,Baseline junction graph,,14,16,16,2,0.7150771515236126,0.645881867678601,0.980106100795756,0.5636363636363636,0.875,11,10,0.7205128205118968,0.807471264366656,0.7615176146767393,0.6148796498899181,0.9785156249999403,8.277300003101118
12,MLP junction cleanup 0.95,0.95,14,18,18,4,0.6163792440670843,0.603572567783094,0.8183023872679045,0.4133333333333333,0.7777777777777778,11,15,0.6012176560112614,0.5675287356313685,0.5838876565579411,0.41231732776574914,0.965637207031191,8.763600009842776
12,CNN junction cleanup 0.95,0.95,14,17,17,3,0.7908872843287812,0.7911164274322169,0.9217506631299734,0.6727272727272726,0.8235294117647058,11,10,0.7816993464042069,0.8591954022976162,0.8186173848524929,0.6929316338346547,0.9838256835936899,15.633799994247966
12,Hough Transform,,14,22,22,8,0.6429243968372824,0.8223923444976077,0.5915119363395225,0.36363636363636365,0.6363636363636364,11,4,0.9701492537292747,0.6537356321829688,0.7811158793459685,0.6408450704216326,0.9844360351561899,0.8921999979065731
12,Contour,,14,72,19,58,0.5324047326705725,0.7045924745677222,0.7749229188078108,0.1636363636363636,0.19444444444444442,11,44,0.39389920424350944,0.42672413793042135,0.409655171914028,0.25758889852536204,0.9477539062499422,2.8612999885808676
12,Skeletonisation,,14,73,73,59,0.5306719641728488,0.8026965417979539,0.6750663129973475,0.061068702290076333,0.1917808219178082,11,131,0.9759519038056594,0.6997126436771556,0.8150627610185003,0.6878531073436612,0.9865112304686897,2.749000006588176
12,Run-graph,,14,25,25,11,0.699454621603442,0.8985645933014355,0.6273209549071618,0.45454545454545453,0.56,11,8,0.9999999999979509,0.7011494252863489,0.8243243238383628,0.7011494252863489,0.9873046874999397,6.7149999958928674
12,Sparse pixel,,14,73,73,59,0.5306719641728488,0.8026965417979539,0.6750663129973475,0.061068702290076333,0.1917808219178082,11,131,0.9759519038056594,0.6997126436771556,0.8150627610185003,0.6878531073436612,0.9865112304686897,4.593699995893985
12,Mesh pattern,,14,32,32,18,0.4399249965098423,0.6163157894736843,0.5941644562334217,0.0,0.4375,11,0,0.6327800829862391,0.43821839080396807,0.5178268246429562,0.3493699885448461,0.965332031249941,1.3555000041378662
13,Baseline junction graph,,17,20,20,3,0.8157344751335183,0.84711117665121,0.9601722282023681,0.6300000000000001,0.85,20,16,0.7743271221524075,0.8789659224431504,0.8233351673602048,0.6997193638908328,0.9804077148436902,10.656600003130734
13,MLP junction cleanup 0.95,0.95,17,27,27,10,0.5860005513249856,0.7232972601084057,0.7502691065662002,0.19,0.6296296296296297,20,11,0.5764705882345406,0.518213866039344,0.5457920787086613,0.3753191489358508,0.9552001953124417,11.63859998632688
13,CNN junction cleanup 0.95,0.95,17,29,29,12,0.5621442109085028,0.6964617898441428,0.6630785791173305,0.23000000000000004,0.5862068965517242,20,16,0.579104477611076,0.4559341950640941,0.5101906635432275,0.3424536628417101,0.9545288085936917,45.281700004125014
13,Hough Transform,,17,23,23,6,0.5547512742124898,0.7029032803542608,0.5726587728740582,0.2,0.7391304347826086,20,4,0.9999999999981851,0.6474735605162779,0.786019970991102,0.6474735605162779,0.98168945312494,1.262599995243363
13,Contour,,17,65,9,48,0.5576682640300411,0.7118898127125229,0.7926621160409556,0.21052631578947373,0.2615384615384615,20,57,0.4240940254648148,0.5088131609864761,0.4626068371104668,0.30090340514225095,0.9385986328124427,2.8795999969588593
13,Skeletonisation,,17,87,86,70,0.4987424424755685,0.736991389148252,0.6555435952637244,0.06578947368421052,0.1954022988505747,20,152,0.9966101694898363,0.690951821385792,0.8160999301190177,0.6893317702219351,0.9838256835936899,6.291999990935437
13,Run-graph,,17,16,16,1,0.6868226390525536,0.8466342245238014,0.6210979547900969,0.35,0.9411764705882353,20,12,0.9999999999982759,0.6815511163329242,0.8106219422142136,0.6815511163329242,0.9834594726561899,4.048699993290938
13,Sparse pixel,,17,86,86,69,0.49864687005800906,0.736991389148252,0.6544671689989237,0.06535947712418301,0.19767441860465118,20,153,0.9712837837821431,0.6756756756748817,0.7969507964658002,0.6624423963126009,0.98211669921869,3.180999992764555
13,Mesh pattern,,17,32,32,15,0.4091864811089627,0.5769193061840122,0.4822389666307858,0.0,0.53125,20,0,0.6227544910167211,0.36662749706184883,0.4615384610712871,0.29999999999971155,0.9555664062499416,1.4386999973794445
14,Baseline junction graph,,4,3,3,1,0.4941637931034483,0.6470987654320988,0.6398467432950192,0.0,0.75,1,0,0.3314285714266776,0.22393822393735932,0.26728110550828227,0.15425531914852592,0.9805908203124402,3.224699990823865
14,MLP junction cleanup 0.95,0.95,4,3,3,1,0.5134300766283525,0.6882098765432099,0.6436781609195402,0.0,0.75,1,0,0.3333333333314176,0.22393822393735932,0.2678983828898549,0.15466666666625423,0.9806518554686902,5.331099993782118
14,CNN junction cleanup 0.95,0.95,4,3,3,1,0.5134300766283525,0.6882098765432099,0.6436781609195402,0.0,0.75,1,0,0.3333333333314176,0.22393822393735932,0.2678983828898549,0.15466666666625423,0.9806518554686902,7.384100012131967
14,Hough Transform,,4,3,3,1,0.6346743295019157,0.8333333333333334,0.9233716475095786,0.0,0.75,1,0,0.9999999999959017,0.9420849420813048,0.9701789259379391,0.9420849420813048,0.999084472656189,0.6559000030392781
14,Contour,,4,8,3,4,0.48786708350434743,0.7363032694654432,0.5326530612244897,0.0,0.5,1,4,0.5809523809505367,0.7065637065609786,0.6376306615234433,0.4680306905358874,0.9873046874999397,0.7487000111723319
14,Skeletonisation,,4,3,3,1,0.6346743295019157,0.8333333333333334,0.9233716475095786,0.0,0.75,1,0,0.9999999999959017,0.9420849420813048,0.9701789259379391,0.9420849420813048,0.999084472656189,1.0645000002114102
14,Run-graph,,4,3,3,1,0.6346743295019157,0.8333333333333334,0.9233716475095786,0.0,0.75,1,0,0.9999999999959017,0.9420849420813048,0.9701789259379391,0.9420849420813048,0.999084472656189,3.468999988399446
14,Sparse pixel,,4,3,3,1,0.6346743295019157,0.8333333333333334,0.9233716475095786,0.0,0.75,1,0,0.9999999999959017,0.9420849420813048,0.9701789259379391,0.9420849420813048,0.999084472656189,1.0589999874355271
14,Mesh pattern,,4,10,10,6,0.39102969348659,0.5416666666666666,0.5363984674329502,0.0,0.4,1,0,0.3793103448249703,0.21235521235439245,0.2722772272612366,0.1575931232087175,0.98205566406244,1.2689000141108409
15,Baseline junction graph,,15,15,15,0,0.7314658447606418,0.6947511242951177,0.9512820512820512,0.5142857142857143,1.0,14,11,0.678787878787056,0.7724137931023829,0.7225806446624391,0.5656565656559943,0.9737548828124405,11.700900009600446
15,MLP junction cleanup 0.95,0.95,15,17,17,2,0.6078341313768499,0.6078183359524817,0.908974358974359,0.2571428571428572,0.8823529411764706,14,14,0.5763157894729259,0.6041379310336494,0.5898989893984732,0.4183381088821219,0.9628295898436912,7.479899999452755
15,CNN junction cleanup 0.95,0.95,15,15,15,0,0.6754029131492735,0.6506715123300908,0.9487179487179487,0.37142857142857144,1.0,14,11,0.6297198538360174,0.7131034482748785,0.6688227679357327,0.5024295432453815,0.9687499999999408,17.367799999192357
15,Hough Transform,,15,15,15,0,0.5171927327596756,0.6588409934341994,0.55,0.04285714285714286,1.0,14,1,0.9999999999977478,0.6124137931026036,0.759623609450602,0.6124137931026036,0.9828491210936899,0.7688999903621152
15,Contour,,15,48,10,33,0.5710190762562102,0.7219204748376198,0.8245243128964059,0.19999999999999998,0.3125,14,40,0.6947194719460483,0.5806896551716129,0.6326070618621746,0.46263736263685423,0.9701538085936907,1.7582999862497672
15,Skeletonisation,,15,64,64,49,0.46792701247275376,0.704446277088774,0.6153846153846154,0.01764705882352941,0.234375,14,102,0.9957894736821141,0.6524137931025484,0.7883333328537209,0.6506189821173994,0.9844970703124399,2.6313999987905845
15,Run-graph,,15,19,19,4,0.571847373544866,0.7933390427252832,0.5961538461538461,0.06666666666666667,0.7894736842105263,14,15,0.9999999999978495,0.6413793103439429,0.7815126045645716,0.6413793103439429,0.9841308593749399,5.800800005090423
15,Sparse pixel,,15,64,64,49,0.46792701247275376,0.704446277088774,0.6153846153846154,0.01764705882352941,0.234375,14,102,0.9957894736821141,0.6524137931025484,0.7883333328537209,0.6506189821173994,0.9844970703124399,2.899899991462007
15,Mesh pattern,,15,30,30,15,0.39900034036759696,0.536240072611754,0.5384615384615384,0.0,0.5,14,0,0.6299765807947776,0.3710344827581089,0.46701388842153585,0.304643261607809,0.9625244140624413,1.4635999978054315
16,Baseline junction graph,,12,11,11,1,0.8703808799381821,0.8709522199684472,0.9964285714285714,0.75,0.9166666666666666,4,3,0.9742990654194226,0.9988023952083847,0.9863985802203771,0.9731621936978143,0.998596191406189,8.844299998600036
16,MLP junction cleanup 0.95,0.95,12,12,12,0,0.8418476973104656,0.8033692357596169,0.96415770609319,0.75,1.0,4,4,0.8657799274475626,0.8574850299390928,0.8616125145410927,0.7568710359400033,0.9859619140624398,8.416600001510233
16,CNN junction cleanup 0.95,0.95,12,12,12,0,0.8418476973104656,0.8033692357596169,0.96415770609319,0.75,1.0,4,4,0.8657799274475626,0.8574850299390928,0.8616125145410927,0.7568710359400033,0.9859619140624398,18.18829998956062
16,Hough Transform,,12,10,10,2,0.8989628393688461,0.8295019157088123,0.961768219832736,1.0,0.8333333333333334,4,4,0.997533908753394,0.9688622754479415,0.9829890638974538,0.9665471923524892,0.998291015624939,0.9095999994315207
16,Contour,,12,36,7,24,0.5454082817643815,0.827609243826756,0.5211706102117061,0.1416666666666667,0.33333333333333337,4,24,0.7629558541259472,0.9520958083820933,0.8470964299793393,0.7347504621065298,0.98248291015619,2.0019999938085675
16,Skeletonisation,,12,47,47,35,0.6225182773975418,0.8665690908439861,0.974910394265233,0.04819277108433735,0.25531914893617025,4,83,0.9999999999987639,0.9688622754479415,0.9841849143407768,0.9688622754479415,0.998413085937439,3.281899989815429
16,Run-graph,,12,11,11,1,0.9589500164792156,0.9458812260536399,0.9581839904420549,1.0,0.9166666666666666,4,4,0.9999999999987639,0.9688622754479415,0.9841849143407768,0.9688622754479415,0.998413085937439,4.6162999933585525
16,Sparse pixel,,12,47,47,35,0.6225182773975418,0.8665690908439861,0.974910394265233,0.04819277108433735,0.25531914893617025,4,83,0.9999999999987639,0.9688622754479415,0.9841849143407768,0.9688622754479415,0.998413085937439,3.5977999941678718
16,Mesh pattern,,12,48,48,36,0.46294416635768143,0.6163793103448276,0.8028673835125448,0.0,0.25,4,0,0.7146892655357138,0.6059880239513701,0.6558651971694197,0.4879459980708892,0.9675903320311909,1.9755000103032216
17,Baseline junction graph,,14,14,14,0,0.978524720266283,0.9899052097327959,0.9986702127659575,0.9333333333333332,1.0,6,6,0.8155583437881863,0.9090909090896376,0.8597883592886931,0.7540603248251113,0.9870605468749397,8.435399999143556
17,MLP junction cleanup 0.95,0.95,14,17,17,3,0.7855158102246363,0.9096346469622333,0.933422103861518,0.42857142857142855,0.8235294117647058,6,7,0.6993377483434446,0.7384615384605057,0.7183673464381684,0.5605095541395324,0.9747314453124405,8.987399996840395
17,CNN junction cleanup 0.95,0.95,14,17,17,3,0.8000171259306791,0.9189203612479474,0.9374167776298269,0.4666666666666666,0.8235294117647058,6,5,0.7356020942398749,0.7860139860128867,0.7599729541986421,0.6128680479818834,0.9783325195311903,29.011099992203526
17,Hough Transform,,14,9,9,5,0.6763256134677573,0.8035714285714286,0.6271637816245006,0.5,0.6428571428571428,6,3,0.9999999999979036,0.6671328671319341,0.8003355699883887,0.6671328671319341,0.9854736328124398,1.1515999940456823
17,Contour,,14,35,7,21,0.5084758614671437,0.6234134370051755,0.7822916666666666,0.12592592592592594,0.4,6,27,0.7185628742504213,0.6713286713277324,0.6941431665277732,0.5315614617934313,0.9741821289061905,2.572199999121949
17,Skeletonisation,,14,46,46,32,0.4824963990337726,0.688453853580665,0.6524633821571239,0.047058823529411764,0.30434782608695654,6,85,0.9979296066231927,0.6741258741249313,0.8046744569464563,0.6731843575409593,0.9857177734374398,4.947699999320321
17,Run-graph,,14,11,11,3,0.6727699960362405,0.8355389758643185,0.6364846870838882,0.36363636363636365,0.7857142857142857,6,11,0.9999999999979036,0.6671328671319341,0.8003355699883887,0.6671328671319341,0.9854736328124398,9.18900000397116
17,Sparse pixel,,14,46,46,32,0.4824963990337726,0.688453853580665,0.6524633821571239,0.047058823529411764,0.30434782608695654,6,85,0.9979296066231927,0.6741258741249313,0.8046744569464563,0.6731843575409593,0.9857177734374398,3.715099999681115
17,Mesh pattern,,14,31,31,17,0.4098655180189855,0.5536111111111112,0.577896138482024,0.0,0.4516129032258065,6,0,0.690307328603569,0.4083916083910372,0.5131810188641791,0.3451536643021925,0.966186523437441,1.334500004304573
18,Baseline junction graph,,12,12,12,0,0.9069386169479683,0.9505803462401599,0.9896373056994818,0.725,1.0,8,6,0.8512195121940839,0.9928876244651595,0.916611949600237,0.8460606060595806,0.9922485351561894,11.37860000017099
18,MLP junction cleanup 0.95,0.95,12,15,15,3,0.7607801774665295,0.7756862640048124,0.8808290155440415,0.6222222222222222,0.8,8,9,0.7999999999988653,0.8022759601695558,0.8011363631352266,0.6682464454968385,0.9829101562499399,8.167699998011813
18,CNN junction cleanup 0.95,0.95,12,13,13,1,0.7479409282083035,0.7899362640048124,0.844559585492228,0.525,0.9230769230769231,8,5,0.7811158798272088,0.7766714082492508,0.7788873033505335,0.6378504672889744,0.98107910156244,13.914299997850321
18,Hough Transform,,12,11,11,1,0.5450959118385932,0.5419469696969698,0.5790155440414508,0.375,0.9166666666666666,8,4,0.9934065934044101,0.6429587482209915,0.7806563034939505,0.6402266288942773,0.9844970703124399,0.7082999945851043
18,Contour,,12,46,11,34,0.5027143163129993,0.5934129433938945,0.8221512247071352,0.18064516129032257,0.26086956521739135,8,31,0.47552447552381044,0.4836415362724273,0.47954865958398574,0.31539888682716566,0.9549560546874417,1.7081999976653606
18,Skeletonisation,,12,40,40,28,0.4655854446394414,0.6559274193548387,0.6152849740932642,0.06944444444444445,0.30000000000000004,8,72,0.9915611814325073,0.6685633001412965,0.798640611242294,0.6647807637897245,0.9855346679686898,1.982400004635565
18,Run-graph,,12,14,14,2,0.6328137028127313,0.67375,0.594559585492228,0.5,0.8571428571428572,8,4,0.9999999999978633,0.6657183499279293,0.799316822746782,0.6657183499279293,0.9856567382811898,3.998700005467981
18,Sparse pixel,,12,40,40,28,0.4655854446394414,0.6559274193548387,0.6152849740932642,0.06944444444444445,0.30000000000000004,8,72,0.9915611814325073,0.6685633001412965,0.798640611242294,0.6647807637897245,0.9855346679686898,2.4836000084178522
18,Mesh pattern,,12,30,30,18,0.3389332901554404,0.4225,0.544041450777202,0.0,0.4,8,0,0.8876146788970468,0.550497866286557,0.6795434587009969,0.5146276595737838,0.9777221679686903,1.4140999992378056
19,Baseline junction graph,,16,20,20,4,0.8387112360493008,0.8654682726717291,0.971252566735113,0.7000000000000001,0.8,20,22,0.8412197686636791,0.9070294784570215,0.872885978768714,0.7744433688279047,0.9857788085936898,11.609299996052869
