method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,262,16,22,6,0.5715133607597356,0.5884795307566656,0.8672199170124482,0.24210526315789477,0.7272727272727273,14,19,0.7290640394076698,0.633380884449881,0.6778625949212784,0.512702078521348,0.9742431640624405,444,165,257,15518,0.7290640394076698,0.633380884449881,0.6778625949212784,0.9742431640624405,0.512702078521348,1621,701,36,33,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,262,16,22,6,0.5994401687472294,0.5975697131562004,0.8478561549100968,0.3529411764705883,0.7272727272727273,14,17,0.8305647840517765,0.7132667617678841,0.7674597078670192,0.6226650062258746,0.98150634765619,500,102,201,15581,0.8305647840517765,0.7132667617678841,0.7674597078670192,0.98150634765619,0.6226650062258746,1621,701,36,33,529.0,26.0,6.0,82.0,58.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,262,16,15,1,0.4040196779260071,0.283595617898756,0.7704011065006916,0.11428571428571428,0.9375,14,6,0.05075187969915272,0.03851640513546574,0.043795619947278444,0.022388059701473974,0.9280395507811934,27,505,674,15178,0.05075187969915272,0.03851640513546574,0.043795619947278444,0.9280395507811934,0.022388059701473974,1621,701,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,262,16,14,2,0.38778848280172923,0.2566071753318631,0.7455048409405256,0.14285714285714285,0.875,14,5,0.06122448979579342,0.042796005706073045,0.05037783326875722,0.025839793281631492,0.9309692382811932,30,460,671,15223,0.06122448979579342,0.042796005706073045,0.05037783326875722,0.9309692382811932,0.025839793281631492,1621,701,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,263,15,26,11,0.6415933962633065,0.6734506337284116,0.9125748502994012,0.39333333333333326,0.5769230769230769,18,30,0.5881542699716417,0.5611038107745584,0.5743106921693095,0.4028301886788653,0.9613647460936913,427,299,334,15324,0.5881542699716417,0.5611038107745584,0.5743106921693095,0.9613647460936913,0.4028301886788653,2203,761,41,42,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,263,15,28,13,0.5826091095626014,0.6049901132566885,0.9053892215568862,0.30285714285714277,0.5357142857142857,18,35,0.6052631578938985,0.5742444152423466,0.5893459199311085,0.41778202676824305,0.9628295898436912,437,285,324,15338,0.6052631578938985,0.5742444152423466,0.5893459199311085,0.9628295898436912,0.41778202676824305,2203,761,39,40,563.0,25.0,12.0,98.0,63.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,263,15,18,3,0.40091941985991386,0.1611767399267399,0.7808383233532934,0.3555555555555555,0.8333333333333334,18,16,0.08403361344523692,0.06570302233894126,0.07374631219175022,0.03828483920364603,0.9233398437499436,50,545,711,15078,0.08403361344523692,0.06570302233894126,0.07374631219175022,0.9233398437499436,0.03828483920364603,2203,761,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,263,15,19,4,0.3623324615469274,0.14952730829923813,0.9221556886227544,0.12666666666666668,0.7894736842105263,18,30,0.08689248895421665,0.07752956635995069,0.08194444394595198,0.04272266473566783,0.9193115234374438,59,620,702,15003,0.08689248895421665,0.07752956635995069,0.08194444394595198,0.9193115234374438,0.04272266473566783,2203,761,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,264,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999901961,0.9999999999999389,102,0,0,16282,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999999389,0.9999999999901961,102,102,4,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,264,2,2,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999901961,0.9999999999999389,102,0,0,16282,0.9999999999901961,0.9999999999901961,0.999999999490196,0.9999999999999389,0.9999999999901961,102,102,4,2,98.0,4.0,0.0,0.0,0.0,False
