method,method_display,preprocess_method,preprocess_display,preprocess_kind,input_channels,channel_names,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_preprocessed,pixel_recall_on_preprocessed,pixel_f1_on_preprocessed,pixel_iou_on_preprocessed,pixel_accuracy_on_preprocessed,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,processed_feature_pixels,opening_radius,closing_radius,erode_radius,dilate_radius,density_radius,distance_decay_px,neighbour_blend,apply_opening,apply_closing,apply_erosion,apply_dilation,apply_skeletonization,internal_skeletonization_applied
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,2,3,3,0,0.5432407407407407,0.08786008230452674,0.7685185185185185,1.0,1.0,0,0,0.371428571425034,0.11746987951771846,0.17848970215126014,0.09798994974849752,0.9780883789061903,39,66,293,15986,0.371428571425034,0.11746987951771846,0.17848970215126014,0.9780883789061903,0.09798994974849752,226,332,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__sobel_edges,CNN + Sobel edge response,sobel_edges,Sobel edge response,sobel_edges,1,,2,3,3,0,0.5365168539325843,0.0,0.9325842696629214,1.0,1.0,0,0,0.04761904761848072,0.012499999999960938,0.01980197986854231,0.009999999999975001,0.9758300781249404,4,80,316,15984,0.04761904761848072,0.012499999999960938,0.01980197986854231,0.9758300781249404,0.009999999999975001,226,320,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,Distance-to-stroke,distance_transform,1,,2,3,3,0,0.5503803418803419,0.13,0.7094017094017093,1.0,1.0,0,0,0.2293577981630334,0.0389408099687867,0.06657789589015621,0.03443526170794155,0.9572143554686916,25,84,617,15658,0.2293577981630334,0.0389408099687867,0.06657789589015621,0.9572143554686916,0.03443526170794155,226,642,0,0,0,0,0,4.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__neighbour_context,CNN + Neighbour-count context,neighbour_context,Neighbour-count context,neighbour_context,1,,2,3,3,0,0.5364396919042936,0.08786008230452674,0.7345132743362832,1.0,1.0,0,0,0.08490566037655749,0.039823008849381315,0.05421686703487444,0.027863777089697016,0.9808349609374402,9,97,217,16061,0.08490566037655749,0.039823008849381315,0.05421686703487444,0.9808349609374402,0.027863777089697016,226,226,0,0,0,0,0,0.0,0.45,False,False,False,False,False,False
cnn_direct_vector_regression__skeleton,CNN + Zhang-Suen skeleton,skeleton,Zhang-Suen skeleton,skeleton,1,,2,3,3,0,0.5193877551020408,0.0,0.846938775510204,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9892578124999396,0,94,82,16208,0.0,0.0,0.0,0.9892578124999396,0.0,226,82,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__multi_channel_stack,CNN + Multi-channel stack,multi_channel_stack,Multi-channel stack,multi_channel,8,"threshold_only, dilated_stroke, close_gaps, local_density, sobel_edges, distance_transform, neighbour_context, skeleton",2,3,3,0,0.2903614457831325,0.0,0.9518072289156626,0.0,1.0,0,1,0.05633802816822059,0.006230529595005871,0.01122019617407828,0.005641748942164116,0.9569702148436916,4,67,638,15675,0.05633802816822059,0.006230529595005871,0.01122019617407828,0.9569702148436916,0.005641748942164116,226,642,0,0,0,0,0,0.0,0.0,False,False,False,False,True,False
cnn_direct_vector_regression__threshold_only,CNN + Threshold binary,threshold_only,Threshold binary,binary,1,,3,1,1,0,0.46176470588235297,0.0,0.5588235294117647,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9942016601561893,0,33,62,16289,0.0,0.0,0.0,0.9942016601561893,0.0,62,62,0,0,0,0,0,0.0,0.0,False,False,False,False,False,False
cnn_direct_vector_regression__dilated_stroke,CNN + Dilated stroke,dilated_stroke,Dilated stroke,binary,1,,3,1,1,0,0.5078947368421053,0.0,0.7894736842105263,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9920654296874394,0,14,116,16254,0.0,0.0,0.0,0.9920654296874394,0.0,62,116,0,0,0,1,0,0.0,0.0,False,False,False,True,False,False
cnn_direct_vector_regression__close_gaps,CNN + Close small gaps,close_gaps,Close small gaps,binary,1,,3,1,1,0,0.5227272727272727,0.0,0.8636363636363636,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9948730468749393,0,22,62,16300,0.0,0.0,0.0,0.9948730468749393,0.0,62,62,0,1,0,0,0,0.0,0.0,False,True,False,False,False,False
cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,Local density blur,local_density,1,,3,1,1,0,0.502,0.0,0.76,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.9925537109374394,0,26,96,16262,0.0,0.0,0.0,0.9925537109374394,0.0,62,96,0,0,0,0,2,0.0,0.0,False,False,False,False,False,False
