sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
42,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.883,0.74,1.0,1.0,1.0,0,0,0,36,36,16312,0.0,0.0,0.0,0.9956054687499392,0.0
42,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.7075,0.35,1.0,1.0,1.0,0,0,0,35,36,16313,0.0,0.0,0.0,0.9956665039061892,0.0
43,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.3647512970559846,0.22265625,0.9227799227799228,0.0,0.8,1,0,10,237,580,15557,0.04048582995935026,0.016949152542344154,0.023894862188449682,0.9501342773436919,0.012091898428038584
43,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.39586630898594377,0.23088541666666665,0.9598393574297188,0.0,1.0,1,0,21,217,569,15577,0.08823529411727632,0.035593220338922725,0.05072463727140074,0.9520263671874418,0.02602230483268151
44,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.5543881381381381,0.09617117117117116,0.8055555555555556,1.0,1.0,0,0,3,83,107,16191,0.03488372092982693,0.027272727272479338,0.030612244405143697,0.9884033203124396,0.015544041450696664
44,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.6321944444444444,0.195,0.9722222222222222,1.0,1.0,0,0,0,105,110,16169,0.0,0.0,0.0,0.9868774414061897,0.0
45,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,3,1,0.476975404732254,0.09419191919191919,0.547945205479452,1.0,0.75,0,0,1,71,149,16163,0.013888888888695987,0.006666666666622223,0.009009008570651754,0.9865722656249397,0.00452488687780758
45,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,3,1,0.25175171232876714,0.0975,0.6643835616438356,0.0,0.75,0,1,0,94,150,16140,0.0,0.0,0.0,0.9851074218749398,0.0
46,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.5325,0.016666666666666646,0.875,1.0,1.0,0,0,20,28,115,16221,0.41666666665798613,0.14814814814705077,0.21857923458329603,0.9912719726561895,0.12269938650231474
46,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.6484090909090908,0.23888888888888887,0.9545454545454546,1.0,1.0,0,0,10,33,125,16216,0.2325581395294754,0.07407407407352538,0.11235955019410428,0.9903564453124395,0.05952380952345522
47,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.49155846063454756,0.04887387387387386,0.5978260869565217,1.0,1.0,0,0,3,50,91,16240,0.05660377358383767,0.031914893616681754,0.04081632606895275,0.9913940429686895,0.02083333333318866
47,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.6662164303586322,0.3275757575757576,0.8440366972477065,1.0,1.0,0,0,0,108,94,16182,0.0,0.0,0.0,0.9876708984374397,0.0
48,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.34264265586474113,0.2323529411764706,0.7904191616766467,0.0,0.8,3,2,49,262,574,15499,0.1575562700959564,0.07865168539313218,0.10492505308875964,0.948974609374942,0.05536723163835552
48,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.2943574241093996,0.16254511754950737,0.6060606060606061,0.0,1.0,3,0,26,125,597,15636,0.17218543046243587,0.04173354735145789,0.06718346221806583,0.9559326171874416,0.034759358288723584
