sample,method,Method,preprocess_method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
726,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.47307692307692306,0.0,0.6153846153846154,1.0,1.0,0,0,4,23,13,16344,0.14814814814266117,0.235294117633218,0.1818181813357438,0.997802734374939,0.0999999999975
726,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.4625,0.0,0.5625,1.0,1.0,0,0,2,7,15,16360,0.22222222219753085,0.117647058816609,0.1538461533816568,0.998657226562439,0.0833333333298611
727,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,4,0,0.28622674418604654,0.065,0.7848837209302326,0.0,1.0,2,0,4,120,421,15839,0.032258064515868885,0.009411764705860208,0.014571948648425198,0.9669799804686909,0.0073394495412709366
727,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,4,0,0.31710603345280763,0.12854838709677419,0.7962962962962963,0.0,1.0,2,0,5,204,420,15755,0.02392344497596209,0.01176470588232526,0.015772870220447027,0.9619140624999413,0.007949125596171782
728,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,5,5,0,0.3471755768449136,0.1934127037890078,0.8006993006993007,0.0,1.0,0,1,27,189,672,15496,0.1249999999994213,0.03862660944200483,0.05901639308181672,0.9474487304686922,0.030405405405371167
728,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,5,5,0,0.6131671938344815,0.30975771124057266,0.618881118881119,1.0,1.0,0,0,30,131,669,15554,0.1863354037255507,0.042918454935560915,0.0697674415559789,0.9511718749999419,0.03614457831320946
729,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,2,2,0,0.27834394904458604,0.0,0.89171974522293,0.0,1.0,1,1,37,95,384,15868,0.2803030303009068,0.08788598574800978,0.13381555117314403,0.9707641601561907,0.07170542635645019
729,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,2,2,0,0.317993866727842,0.11641949152542373,0.8280254777070064,0.0,1.0,1,0,31,99,390,15864,0.23846153845970416,0.07363420427535954,0.11252268566446091,0.9701538085936907,0.059615384615269974
730,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,3,3,0,0.5755840840840841,0.11691358024691358,0.8648648648648649,1.0,1.0,0,0,1,105,136,16142,0.009433962264061943,0.007299270072939422,0.008230452182966717,0.9852905273436898,0.004132231404941603
730,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,3,3,0,0.5511750841750842,0.05917695473251027,0.8727272727272728,1.0,1.0,0,0,0,109,137,16138,0.0,0.0,0.0,0.9849853515624398,0.0
731,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,4,5,1,0.2864484908136483,0.06157407407407407,0.8937007874015748,0.0,0.8,1,1,12,198,555,15619,0.05714285714258504,0.02116402116398384,0.030888030493502885,0.9540405273436917,0.015686274509783417
731,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,4,5,1,0.2771367754482497,0.012884872824631854,0.9566929133858267,0.0,0.8,1,2,33,178,534,15639,0.15639810426466164,0.05820105820095556,0.08483290448879205,0.9565429687499416,0.04429530201336336
732,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.965427927927928,0.9351851851851851,0.972972972972973,1.0,1.0,0,0,74,1,151,16158,0.9866666666535111,0.3288888888874272,0.49333333295504433,0.9907226562499395,0.32743362831713524
732,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.5111111111111111,0.0,0.8055555555555556,1.0,1.0,0,0,21,38,204,16121,0.3559322033837978,0.09333333333291852,0.14788732361344475,0.9852294921874398,0.07984790874494355
733,cnn_direct_vector_regression__distance_transform,CNN + Distance-to-stroke,distance_transform,1,1,0,0.6962948717948718,0.3706837606837607,0.8974358974358975,1.0,1.0,0,0,9,27,113,16235,0.24999999999305558,0.073770491802674,0.11392405027960262,0.9914550781249395,0.06040268456335301
733,cnn_direct_vector_regression__local_density,CNN + Local density blur,local_density,1,1,0,0.684474358974359,0.39,0.7948717948717949,1.0,1.0,0,0,32,0,90,16262,0.9999999999687501,0.2622950819650631,0.4155844152497892,0.9945068359374393,0.2622950819650631
