method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
skeleton_junction_fix,14,5,5,0,0.9571,0.9046666666666667,1.0,1.0,1.0,0,0,0.9914163090086205,0.9914163090086205,0.9914163085086205,0.9829787234000725,0.9997558593749389,10,5
baseline_original_unchanged,15,5,5,0,0.9992777777777778,0.9983950617283951,1.0,1.0,1.0,0,0,0.9999999999961977,0.9999999999961977,0.9999999994961977,0.9999999999961977,0.9999999999999389,10,5
skeleton_junction_fix,15,5,5,0,0.9992777777777778,0.9983950617283951,1.0,1.0,1.0,0,0,0.9999999999961977,0.9999999999961977,0.9999999994961977,0.9999999999961977,0.9999999999999389,10,5
baseline_original_unchanged,16,5,5,0,0.9987205651491365,0.9982905982905983,0.9974489795918368,1.0,1.0,3,3,0.9973474801034553,0.9973474801034553,0.9973474796034553,0.9947089947063632,0.9998779296874389,13,11
skeleton_junction_fix,16,5,5,0,0.9987205651491365,0.9982905982905983,0.9974489795918368,1.0,1.0,3,3,0.9973474801034553,0.9973474801034553,0.9973474796034553,0.9947089947063632,0.9998779296874389,13,11
baseline_original_unchanged,17,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999924243,0.9999999999924243,0.9999999994924242,0.9999999999924243,0.9999999999999389,6,3
skeleton_junction_fix,17,3,3,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999924243,0.9999999999924243,0.9999999994924242,0.9999999999924243,0.9999999999999389,6,3
baseline_original_unchanged,18,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999230769,0.9999999999230769,0.9999999994230768,0.9999999999230769,0.9999999999999389,2,1
skeleton_junction_fix,18,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999230769,0.9999999999230769,0.9999999994230768,0.9999999999230769,0.9999999999999389,2,1
baseline_original_unchanged,19,5,5,0,0.9949207746478873,0.9902777777777778,0.9964788732394366,1.0,1.0,1,1,0.9377431906578299,0.9377431906578299,0.9377431901578298,0.8827838827806492,0.998046874999939,11,8
skeleton_junction_fix,19,5,5,0,0.9949207746478873,0.9902777777777778,0.9964788732394366,1.0,1.0,1,1,0.9377431906578299,0.9377431906578299,0.9377431901578298,0.8827838827806492,0.998046874999939,11,8
baseline_original_unchanged,20,1,1,0,0.9642857142857143,0.9333333333333333,0.9714285714285714,1.0,1.0,0,0,0.9677419354526535,0.9677419354526535,0.9677419349526535,0.9374999999707032,0.9998779296874389,2,1
