Cycle,Training samples,sample,Method,True vectors,Predicted vectors,Vector count error,Engineering score,Line geometry score,Total length score,Junction angle score,Vector count score,True junctions,Predicted junctions,tp,fp,fn,tn,sample_precision,sample_recall,sample_f1,sample_accuracy,sample_iou
small,100,196,Unedited Hough vectors from distance-to-stroke,5,31,26,0.1955718085404553,0.32980200040824664,0.14616657473800332,0.007194244604316547,0.16129032258064513,1,139,339,1086,369,14590,0.23789473684193832,0.4788135593213576,0.3178621655196309,0.9111938476561944,0.18896321070223582
small,100,197,Unedited Hough vectors from distance-to-stroke,1,2,1,0.1274193548387097,0.0,0.3870967741935484,0.0,0.5,0,1,8,21,5,16350,0.27586206895600474,0.6153846153372781,0.38095238050680275,0.998413085937439,0.23529411764013844
small,100,198,Unedited Hough vectors from distance-to-stroke,4,21,17,0.36948231962615524,0.6619191919191919,0.2290715372907154,0.02702702702702703,0.19047619047619047,2,74,373,623,422,14966,0.3744979919674955,0.46918238993651673,0.41652707934949523,0.9362182617186928,0.26304654442858744
small,100,199,Unedited Hough vectors from distance-to-stroke,4,25,21,0.30051164406409725,0.5613499454166528,0.14901664145234494,0.008403361344537815,0.16000000000000003,1,119,302,745,222,15115,0.28844317096438543,0.5763358778614955,0.384468490961672,0.9409790039061925,0.23798266351439087
small,100,200,Unedited Hough vectors from distance-to-stroke,2,9,7,0.2879281045751634,0.47444444444444445,0.26102941176470584,0.0,0.2222222222222222,0,9,114,131,113,16026,0.4653061224470804,0.5022026431695938,0.48305084695630746,0.9851074218749398,0.3184357541890547
small,100,201,Unedited Hough vectors from distance-to-stroke,2,11,9,0.3457415791379935,0.65,0.17529880478087645,0.0,0.18181818181818177,0,17,25,180,21,16158,0.12195121951160025,0.5434782608577505,0.19920318695004843,0.9877319335936897,0.11061946902605921
small,100,202,Unedited Hough vectors from distance-to-stroke,1,3,2,0.4495746943115364,0.7543859649122807,0.38383838383838387,0.0,0.33333333333333337,0,3,39,42,0,16303,0.48148148147553727,0.9999999999743591,0.6499999995504167,0.997436523437439,0.48148148147553727
small,100,203,Unedited Hough vectors from distance-to-stroke,2,13,11,0.3549564665985717,0.6827235772357724,0.1617312072892938,0.0,0.15384615384615385,0,25,101,256,122,15905,0.28291316526531396,0.452914798204247,0.348275861594453,0.9769287109374404,0.21085594989517567
small,100,204,Unedited Hough vectors from distance-to-stroke,3,17,14,0.33417162986964954,0.6327902621722846,0.15884476534296033,0.0,0.17647058823529416,0,45,213,506,184,15481,0.29624478442239743,0.5365239294696813,0.38172042964846775,0.9578857421874415,0.23588039867083513
small,100,205,Unedited Hough vectors from distance-to-stroke,1,3,2,0.8258134544995582,0.9017543859649123,0.6834532374100719,1.0,0.33333333333333337,0,0,0,127,96,16161,0.0,0.0,0.0,0.9863891601561897,0.0
small,100,206,Unedited Hough vectors from distance-to-stroke,5,25,20,0.2101743659449124,0.3404727491719362,0.18480814408770552,0.0,0.19999999999999996,0,63,215,859,230,15080,0.20018621973910597,0.4831460674146446,0.2830809739105758,0.933532714843693,0.1648773006133705
